 ---------------------------------------------------------
 --        Results of the Monte Carlo Simulation        --
 ---------------------------------------------------------

 Monte Carlo Processes (total):  10000
      (successfully completed):  9963

 Zeropoint:	0.0006622612060
 Uncertainty:	0.001117268329

 Nr.	Freq. sigma	Ampl. sigma	Pha. sigma
 ---------------------------------------------------------
 F1	fixed		0.001580473399	0.006416365731
 F2	fixed		0.001538555041	0.02603201627
 F3	fixed		0.00157663175	0.02692818135
 F4	fixed		0.001532554837	0.03690877265
 F5	fixed		0.001548340241	0.04174906119



 Results for each process:
 -------------------------

 Proc#	Zeropoint	F1: Amplitude	F1: Phase	F2: Amplitude	F2: Phase	F3: Amplitude	F3: Phase	F4: Amplitude	F4: Phase	F5: Amplitude	F5: Phase	
 43	0.00140175019839566	0.0454024648113607	0.582142964971153	0.0107950373270234	0.0882825367407045	0.0107690317301368	0.826545972936665	0.00649684225880577	0.648037324827829	0.00633644902321650	1.10862377873509
 44	0.00163815204275905	0.0379786162090445	0.580208408327934	0.00886706403088859	0.0813353098719076	0.0125292038554298	0.809820303839070	0.0108632606158053	0.523095361231930	0.00882423296722653	0.980910640181219
 45	0.000352893406351968	0.0411314631856765	0.578978570656260	0.0116620434162136	0.0723751398098678	0.0103097475671076	0.849411227378491	0.00748645415077408	0.559884748579477	0.00839892384131530	1.05666757265355
 46	0.000718320598789379	0.0392604418249348	0.594445815323854	0.0111943351637766	0.0596872716285339	0.0104566045927119	0.797374795451910	0.00871563378628127	0.571019756649423	0.00365535408003466	1.03817522793170
 47	0.00150674340752516	0.0381363655611194	0.575412369380622	0.0102100156047134	0.0936321879795301	0.00725406871995304	0.808183345149960	0.00487070909037674	0.557860543979214	0.00644890015105990	1.08601137971688
 48	0.00151576744184889	0.0368745796029279	0.571378304766103	0.0116703686330549	0.107471357738301	0.00728644854366043	0.803574976049541	0.00680599426203713	0.553017449577831	0.00827837645013493	1.05976537817300
 49	0.00121367597774833	0.0382538103107657	0.576569559760349	0.0121028999713042	0.0702321829257126	0.00955093044683061	0.812683854419293	0.00831836896987991	0.574581872064351	0.00732915109016135	1.03597952259207
 50	-0.000208648740163183	0.0374606945143598	0.576518207425425	0.00865780828462420	0.0412229016769645	0.00978087773303426	0.779343932452371	0.00826738778907062	0.606996979566973	0.00862563961668061	1.09974599825159
 51	0.000344285746911901	0.0394890616608500	0.579422151281084	0.00966406228767952	0.109099177821490	0.0110554109608147	0.797969333240105	0.00607837597270801	0.587630050096282	0.00748546418829839	1.00910703389835
 52	0.00172797438837164	0.0371200773190411	0.573489345697273	0.0107719391390311	0.0450892496028182	0.00969679203388849	0.844994141968278	0.00585546372730596	0.548143441608884	0.00798059134733578	1.00545389427572
 53	0.00154071431872149	0.0386290989662247	0.578528527303864	0.00818876655386301	0.104242679446858	0.0130693084739873	0.879888667908671	0.00679085869825663	0.512140943030296	0.00637427701429647	1.01732949685570
 54	0.000508802071175200	0.0379522502772157	0.585357339865592	0.00825074742566129	0.0314942637175166	0.00873872866273991	0.824902660791082	0.00985267761473955	0.572214890846262	0.00490152091724722	1.04261444733512
 55	0.00258269118943141	0.0363976347193665	0.573601184436453	0.0105702709786652	0.0823285787885686	0.00663695316045675	0.752005342205909	0.00795218453867808	0.630188044744305	0.00329655503812558	0.998580182990345
 56	0.000970708405544007	0.0374916245365469	0.575491992228649	0.0118061314842966	0.0990867484758944	0.00811349778869861	0.798424422249739	0.00664719131867097	0.509186466037289	0.00612900675013373	0.989085558768753
 57	0.00228928385034600	0.0377184811706829	0.578406417844677	0.0108527638466031	0.0987989813780770	0.0119658260206698	0.799779276838291	0.00616937777671427	0.527831830479261	0.00729758963748705	1.06511576631032
